kind,concept_id,style,from,to,occurrences
brand,brand.primary,title_hyphen_plus,Rho-Bank+,Kestrel-Union+,59
brand,brand.primary,mixed_hyphen_plus,Rho-bank+,Kestrel-union+,2
brand,brand.primary,upper_hyphen,RHO-BANK,KESTREL-UNION,103
brand,brand.primary,literal,Rho Bank,Kestrel Union,4
brand,brand.primary,title_hyphen,Rho-Bank,Kestrel-Union,490
brand,brand.primary,lower_hyphen,rho-bank,kestrel-union,1
brand,brand.primary,upperconcat,RHOBANK,KESTRELUNION,1
brand,brand.primary,lowerconcat,rhobank,kestrelunion,10
brand,brand.primary,upper_first,RHO,KESTREL,56
brand,brand.primary,title_first,Rho,Kestrel,87
product,product.beige,literal,Beige,Bracken,25
product,product.blue_account,upper_space,BLUE ACCOUNT,LAUREL ACCOUNT,16
product,product.blue_account,literal,Blue Account,Laurel Account,205
product,product.blue_account,lower_space,blue account,laurel account,1
product,product.bluest_account,upper_space,BLUEST ACCOUNT,POPLAR ACCOUNT,6
product,product.bluest_account,literal,Bluest Account,Poplar Account,33
product,product.bluest_account,lower_space,bluest account,poplar account,1
product,product.bnpl_bronze,literal,BNPL Bronze,BNPL Slate,23
product,product.bnpl_diamond,literal,BNPL Diamond,BNPL Beryl,14
product,product.bnpl_gold,literal,BNPL Gold,BNPL Zircon,18
product,product.bnpl_platinum,literal,BNPL Platinum,BNPL Basalt,16
product,product.bnpl_silver,literal,BNPL Silver,BNPL Granite,18
product,product.bronze_account,literal,Bronze Account,Slate Account,23
product,product.bronze_rewards_card,literal,Bronze Rewards Card,Slate Rewards Card,71
product,product.bronze_saver_account,literal,Bronze Saver Account,Slate Saver Account,11
product,product.business_bronze_rewards_card,literal,Business Bronze Rewards Card,Business Slate Rewards Card,32
product,product.business_gold_rewards_card,upper_space,BUSINESS GOLD REWARDS CARD,BUSINESS ZIRCON REWARDS CARD,4
product,product.business_gold_rewards_card,literal,Business Gold Rewards Card,Business Zircon Rewards Card,77
product,product.business_platinum_rewards_card,literal,Business Platinum Rewards Card,Business Basalt Rewards Card,99
product,product.business_silver_rewards_card,literal,Business Silver Rewards Card,Business Granite Rewards Card,103
product,product.cobalt_blue,literal,Cobalt Blue,Cobalt Laurel,59
